
TEST CASES
case	SensorType	WeaponType	DataLink	TargetType	PlatformType	pairings
1	S1	W1	Yes	T1	P1	10
2	S1	W2	No	T2	P2	10
3	S2	W2	Yes	T1	P3	9
4	S2	W1	No	T2	P1	8
5	S3	W3	No	T1	P2	9
6	S3	W4	Yes	T2	P3	9
7	S4	W3	No	T3	P3	9
8	S4	W4	Yes	T4	P2	9
9	S5	W4	No	T3	P1	8
10	S5	W3	Yes	T4	P1	7
11	S1	W1	Yes	T3	P2	5
12	S1	W2	No	T4	P3	5
13	S2	W1	No	T5	P2	5
14	S3	W2	Yes	T5	P1	7
15	S4	W1	~Yes	T5	P3	4
16	S4	W4	~No	T1	P1	3
17	S5	W3	~Yes	T2	P2	3
18	S5	W2	~No	T5	P3	3
19	S2	W2	~Yes	T3	~P1	2
20	S3	W1	~No	T4	~P3	3
21	S1	W3	~No	T5	~P1	3
22	S2	W3	~Yes	T4	~P2	2
23	S4	W2	~No	T2	~P2	2
24	S5	W1	~Yes	T1	~P3	2
25	S1	W4	~Yes	T5	~P2	2
26	S2	W4	~No	~T1	~P3	1
27	S3	~W3	~Yes	T3	~P3	1

PAIRING DETAILS
var1	var2	value1	value2	appearances	cases
TargetType	PlatformType	T4	P2	2	8, 22
TargetType	PlatformType	T4	P3	2	12, 20
TargetType	PlatformType	T5	P1	2	14, 21
TargetType	PlatformType	T5	P2	2	13, 25
TargetType	PlatformType	T5	P3	2	15, 18
TargetType	DataLink	T1	Yes	3	1, 3, 24
TargetType	DataLink	T1	No	3	5, 16, 26
TargetType	DataLink	T2	Yes	2	6, 17
TargetType	DataLink	T2	No	3	2, 4, 23
TargetType	DataLink	T3	Yes	3	11, 19, 27
TargetType	DataLink	T3	No	2	7, 9
TargetType	DataLink	T4	Yes	3	8, 10, 22
TargetType	DataLink	T4	No	2	12, 20
TargetType	DataLink	T5	Yes	3	14, 15, 25
TargetType	DataLink	T5	No	3	13, 18, 21
WeaponType	PlatformType	W1	P1	2	1, 4
WeaponType	PlatformType	W1	P2	2	11, 13
WeaponType	PlatformType	W1	P3	3	15, 20, 24
WeaponType	PlatformType	W2	P1	2	14, 19
WeaponType	PlatformType	W2	P2	2	2, 23
WeaponType	PlatformType	W2	P3	3	3, 12, 18
WeaponType	PlatformType	W3	P1	2	10, 21
WeaponType	PlatformType	W3	P2	3	5, 17, 22
WeaponType	PlatformType	W3	P3	2	7, 27
WeaponType	PlatformType	W4	P1	2	9, 16
WeaponType	PlatformType	W4	P2	2	8, 25
WeaponType	PlatformType	W4	P3	2	6, 26
WeaponType	DataLink	W1	Yes	4	1, 11, 15, 24
WeaponType	DataLink	W1	No	3	4, 13, 20
WeaponType	DataLink	W2	Yes	3	3, 14, 19
WeaponType	DataLink	W2	No	4	2, 12, 18, 23
WeaponType	DataLink	W3	Yes	4	10, 17, 22, 27
WeaponType	DataLink	W3	No	3	5, 7, 21
WeaponType	DataLink	W4	Yes	3	6, 8, 25
WeaponType	DataLink	W4	No	3	9, 16, 26
PlatformType	DataLink	P1	Yes	4	1, 10, 14, 19
PlatformType	DataLink	P1	No	4	4, 9, 16, 21
PlatformType	DataLink	P2	Yes	5	8, 11, 17, 22, 25
PlatformType	DataLink	P2	No	4	2, 5, 13, 23
PlatformType	DataLink	P3	Yes	5	3, 6, 15, 24, 27
PlatformType	DataLink	P3	No	5	7, 12, 18, 20, 26
